x1,x2,Class
1.957777745,2.326590167,1
2.748971218,2.558314268,1
1.670267276,1.232464402,1
1.255596302,0.5509098753,-1
0.4527849898,-1.58642679,-1
1.431289769,2.731620399,1
1.569208477,-1.189213236,-1
0.3191338823,-0.119591052,-1
0.08725586311,3.003761292,1
3.264761893,2.066900751,1
4.556073812,2.748856402,1
2.615032809,1.129852691,1
4.354132224,-1.570762599,-1
1.378181006,2.714083082,1
3.656330512,-1.846557698,-1
0.8003472073,2.149960826,1
2.224051458,-1.653408488,-1
0.7621368997,-1.02211998,-1
2.471653491,2.837789684,1
0.007660467273,1.50936633,-1
1.052870402,-0.1284932192,-1
1.451883007,1.976105918,1
1.744116254,2.637455579,1
2.386060693,2.534687223,1
2.856587623,1.2917349,1
3.418507097,-0.6318603494,-1
3.248707333,-1.453777458,-1
3.9452112,2.649411206,1
1.073924076,0.4120200866,-1
1.845642705,-0.6666902399,-1
0.0323368713,2.941079394,1
1.984360615,2.331381565,1
1.738909337,2.062520578,1
3.799007275,2.115437277,1
3.329139906,0.5541600893,1
4.334405929,0.07349947476,1
4.995523271,1.52880031,1
1.096523156,-1.736226496,-1
1.708392861,0.3890620799,-1
3.602601775,-2.010118387,-1
1.152946013,0.434699406,-1
2.834619698,2.252693731,1
1.823526828,1.136368942,1
1.983530889,-0.1962040555,-1
3.556617685,1.175499729,1
2.56700238,-1.686270026,-1
0.3758766616,1.992484424,1
4.078032418,0.3121034353,1
2.436107703,-0.03944638642,-1
1.678292869,-2.058047568,-1
3.871602649,0.6676183909,1
0.3616399927,-0.8159861809,-1
0.9566480535,-2.069328144,-1
1.767107309,-0.1278243235,-1
2.435911719,1.682118178,1
3.153392635,-1.466805971,-1
0.4667022283,0.3023294745,-1
2.667222707,2.381691779,1
0.9333486926,0.2514870206,-1
4.600021006,-1.720649896,-1
4.766798819,3.052800414,1
3.670018087,0.2202335626,1
0.955072296,1.710640195,1
4.703325082,2.624163426,1
1.932213011,-0.2861586623,-1
2.511412622,-1.614120071,-1
1.249057537,1.05536216,-1
3.144345495,-0.6878405835,-1
0.3706686466,2.582740438,1
2.249370904,1.009444225,1
1.741782396,1.998058695,1
0.8718144116,-1.337550912,-1
1.590243894,-1.13140473,-1
0.278658808,2.658233069,1
3.022624539,0.9295531883,1
1.39421292,-0.5830579279,-1
2.823062994,0.3170341916,1
3.806808067,2.570639533,1
0.2271632844,-0.602615046,-1
1.983677546,-1.272911992,-1
4.069748169,0.4536665673,1
2.213989459,2.802621592,1
1.702524043,2.813509886,1
4.015682406,-1.720825315,-1
0.002550515871,1.316834378,-1
3.736921061,1.50331904,1
1.236304518,1.802229319,1
2.868950498,-1.009282738,-1
4.607997675,0.9303539073,1
2.079086127,-0.4368822879,-1
3.499965863,2.511014294,1
2.294799592,2.61266097,1
0.2732729256,-1.015546049,-1
2.111341562,-0.8287999183,-1
0.6027858304,3.052846806,1
3.649490353,2.512624587,1
2.297712157,-0.1335583716,-1
1.206409247,-1.82396136,-1
4.230650049,0.02750387486,1
3.680626056,2.664643954,1
4.856477474,0.3571882535,1
4.094127109,1.561311686,1
0.2657228442,-0.1637587655,-1
1.966718412,0.4803833866,-1
4.530857178,2.126515222,1
1.663968839,0.007941932414,-1
2.934843019,-1.051299569,-1
3.551497191,2.681871437,1
2.19236334,2.819724584,1
1.561829524,-1.94590258,-1
1.871103285,-0.06319924847,-1
1.712440489,0.3654466804,-1
2.456358123,1.970383337,1
0.9582640625,-1.833778479,-1
4.368105315,-1.924096736,-1
3.744550424,-1.991677124,-1
3.454977981,1.178533533,1
2.364527359,1.789420241,1
3.175611086,2.572870276,1
3.240291936,-1.761685649,-1
2.768789172,-2.05801047,-1
4.134237316,0.3063716482,1
2.370865398,2.2623192,1
3.857663703,-1.273921436,-1
4.101225271,-2.007119765,-1
2.017110921,-1.173953118,-1
1.125435946,-0.3813450585,-1
3.001848303,1.907020629,1
0.8500153779,-1.153503641,-1
3.612745324,-1.717204981,-1
4.76222561,0.002530533118,1
0.2816911282,-1.550228522,-1
3.304076283,1.524025377,1
0.3828116143,-0.0950093405,-1
0.1343847582,2.785817865,1
1.459188605,-0.5146017759,-1
2.25111592,-0.4424563504,-1
1.457467129,0.5673417833,-1
3.508168207,0.4617253674,1
4.215505186,1.220311425,1
3.317971736,-0.1009157859,1
4.232468972,-1.318095113,-1
0.35795576,0.489844472,-1
0.2714127717,0.5430123381,-1
1.313057749,-0.3408353182,-1
4.31711904,2.783595862,1
0.4557902357,2.81563488,1
2.695519392,-1.404528042,-1
4.135483129,-1.672191162,-1
0.3035225564,3.043658443,1
2.355469414,2.139889721,1
0.7829183232,1.105068645,-1
2.44741617,-1.463721981,-1
1.3570664,-1.251619128,-1
3.506771456,-1.797165055,-1
2.234745419,-0.523727502,-1
0.1655222235,-1.106268422,-1
1.411078877,0.2436935721,-1
3.592358866,0.3838703542,1
4.353060343,2.575302216,1
0.167243166,-1.35303945,-1
4.835340883,1.360556629,1
4.896968316,2.95813286,1
1.774220725,1.122560754,1
1.767689718,-0.9570398021,-1
1.003128858,2.984640701,1
4.338604154,-0.2488926888,1
1.157860597,1.726589547,1
1.115066375,0.8252171126,-1
4.40122473,-0.3949049086,1
4.762239146,1.802083508,1
0.2932240765,-0.511646625,-1
1.756180187,0.4041108694,-1
3.239206165,1.63891555,1
0.3917320176,0.9395150598,-1
4.494596016,2.063450558,1
2.695006844,-1.71121492,-1
0.7827455976,0.424986411,-1
4.42916156,-0.4510038906,1
4.229998358,1.123344575,1
4.364599756,-1.034372497,-1
4.076464514,1.321424011,1
2.87653006,2.919999918,1
4.851703766,-1.564087042,-1
2.589657363,2.108547502,1
2.175781119,2.134279974,1
2.26304102,-1.431010041,-1
2.198634949,0.8311106473,1
2.930832454,2.571326533,1
1.678940346,2.657312458,1
3.806919042,-1.519671483,-1
2.067942119,1.764275644,1
4.263604489,-1.289573074,-1
2.311100875,0.6452339151,1
3.00328358,-1.313006016,-1
1.441683353,-1.846426994,-1
2.31903361,2.909991022,1
1.774005925,1.375609508,1
0.1640429916,2.941511226,1
1.957777745,2.409601039,1
2.748971218,2.463959542,1
1.670267276,1.236578355,1
